file_path,file_type,category,expected_content,classification,confidence,migration_risk,inspection_status,notes
[knowledge]/dictionary/**,data/etl,knowledge,JMdict dictionary data and parser - vocabulary entries with readings and meanings and parts of speech,EVALUATE,HIGH,MEDIUM,NOT_INSPECTED,Primary knowledge data source - needs license verification and format analysis
[knowledge]/kanji/**,data/etl,knowledge,KANJIDIC2 kanji data and parser - kanji characters with readings and meanings and stroke counts and grades,EVALUATE,HIGH,MEDIUM,NOT_INSPECTED,Primary kanji data source - needs license verification
[knowledge]/radicals/**,data/etl,knowledge,Radical and component data - kangxi radicals with meanings and stroke counts,EVALUATE,MEDIUM,LOW,NOT_INSPECTED,Supplementary to kanji data
[knowledge]/grammar/**,data/etl,knowledge,Grammar point definitions with structures and explanations and JLPT levels,EVALUATE,MEDIUM,MEDIUM,NOT_INSPECTED,May need editorial review for accuracy
[knowledge]/sentences/**,data/etl,knowledge,Example sentences with Japanese text and English translations,EVALUATE,MEDIUM,LOW,NOT_INSPECTED,May source from Tatoeba or similar - check license
[etl]/**,script,etl,ETL pipeline scripts for importing knowledge data into PostgreSQL,EVALUATE,HIGH,MEDIUM,NOT_INSPECTED,Core integration target - must verify idempotency and provenance tracking
[auth]/**,module,auth,Authentication implementation - provider and session and user model,DEPRECATE,HIGH,HIGH,NOT_INSPECTED,Repo A auth is authoritative per DEC-0003 - evaluate only to understand patterns
[api]/**,api_route,api,API route definitions for dictionary and learning and SRS and AI features,EVALUATE,MEDIUM,MEDIUM,NOT_INSPECTED,May contain route patterns to adapt to Repo A API contract
[ui]/dictionary/**,component,ui,Dictionary search and entry display components,EVALUATE,MEDIUM,LOW,NOT_INSPECTED,UI components to evaluate for adaptation to Repo A stack
[ui]/kanji/**,component,ui,Kanji browser and lookup components,EVALUATE,MEDIUM,LOW,NOT_INSPECTED,UI components to evaluate for adaptation
[ui]/learning/**,component,ui,Course and lesson and quiz UI components,EVALUATE,MEDIUM,LOW,NOT_INSPECTED,Core learning UI to evaluate
[ui]/srs/**,component,ui,SRS deck and card and review session components,EVALUATE,MEDIUM,MEDIUM,NOT_INSPECTED,SRS UI to evaluate
[ui]/ai/**,component,ui,AI tutor chat interface and components,EVALUATE,MEDIUM,LOW,NOT_INSPECTED,AI chat UI to evaluate
[ui]/admin/**,component,ui,Admin dashboard and CMS components,EVALUATE,LOW,LOW,NOT_INSPECTED,Admin UI to evaluate
[cms]/**,module,admin,Content management and editorial workflow,EVALUATE,LOW,LOW,NOT_INSPECTED,CMS functionality to evaluate
[mobile]/flutter/**,mobile,mobile,Flutter project with screens and API client and offline cache,EVALUATE,HIGH,HIGH,NOT_INSPECTED,Entire mobile client - Phase 08 target
[mobile]/flutter/lib/auth/**,mobile,mobile,Flutter authentication screens and token management,EVALUATE,HIGH,HIGH,NOT_INSPECTED,Must adapt to Repo A auth
[mobile]/flutter/lib/api/**,mobile,mobile,Flutter API client layer,EVALUATE,HIGH,MEDIUM,NOT_INSPECTED,Must point to Repo A API
[mobile]/flutter/lib/srs/**,mobile,mobile,Flutter SRS review UI,EVALUATE,MEDIUM,MEDIUM,NOT_INSPECTED,Client-side review only - scheduling must remain server-side
[mobile]/flutter/lib/offline/**,mobile,mobile,Flutter offline cache and sync implementation,EVALUATE,MEDIUM,HIGH,NOT_INSPECTED,Sync logic needs careful evaluation
[tests]/**,test,testing,Test suites and fixtures and test utilities,EVALUATE,MEDIUM,LOW,NOT_INSPECTED,Valuable for test coverage - adapt to Repo A test framework
[config]/**,config,infrastructure,Configuration files for build and deploy and env,EVALUATE,LOW,LOW,NOT_INSPECTED,Compare with Repo A config
[db]/schema/**,db_schema,infrastructure,Database schema definitions - possibly Prisma or Drizzle or raw SQL,EVALUATE,HIGH,HIGH,NOT_INSPECTED,Critical comparison point with Repo A Drizzle schema
[db]/migrations/**,db_migration,infrastructure,Database migration files,EVALUATE,MEDIUM,HIGH,NOT_INSPECTED,Do not apply directly - use for schema understanding only
[docs]/**,documentation,docs,Project documentation and API docs,EVALUATE,LOW,NONE,NOT_INSPECTED,Reference material
